"Reg No.";"Nick";"Display Name";"Website Reg";"Merchandise";"Attends Thu";"Attends Fri";"Attends Sat";"Allows Use of Data";"After Dark";"Short Description";"About the Artist";"About the Art";"Website";"Twitter";"Telegram";"Discord";"Tweet";"Art Preview Caption";"ThumbnailImg";"ArtistImg";"ArtImg";"Cat. Prints";"Cat. Artwork";"Cat. Fursuit";"Cat. Commissions";"Cat. Misc"
"190";"Waffles";"Waffle Wishes";"https://dakimakuradreams.com/";"Prints, Wallscrolls, Blankets, Playmats, Mousepads, Pillowcases, Shirts, Pants, and Art Books.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"191";"KaotikJuju";"KaotikJuju";"http://www.furaffinity.net/user/kaotikjuju/";"commissions, badge commissions,custom note book, stickers, bookmark, prints";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"192";"Nomax";"";"https://www.furaffinity.net/user/nomax/";"Prints mainly, with some other merch secondarily (stickers, bookmarks etc.)";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"193";"Avalon";"Fluffcreation “Avalon Blueavian”";"http://www.fluffcreation.com";"Fursuit headbags, Fursuit Supplies, Fursuit repair, Merchandise, maybe Pawpets and Kigus.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"194";"Ryuko";"RyukoArt";"http://www.furaffinity.net/user/ryuko/";"I'm planning to sell bodypillow covers, stickers, sketch commissions, prints and other merchnd other small similar products";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"195";"iPoke";"";"http://www.furaffinity.net/user/ipoke/";"Prints (artwork and comics), commissions (badges and other)";"X";"X";"";"";"X";;;;;;;;;;;;;;;;;
"196";"Revaivwra";"Revaivwra";"";"My own comic books, funny prints, postcards, pins all in a cartoony and funny look as well as commissions on con";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"197";"herpydragon";"Herpydragon";"https://www.furaffinity.net/gallery/herpydragon/";"Stickers, prints, commissions, postcards, buttons, posters";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"198";"tabalon";"Lokyr Mead";"http://lokyr.com";"Bottled mead, furry merchandise, custom prints";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"199";"Twice";"Twice";"http://www.furaffinity.net/user/twice/";"Commissions, originals, prints, kitchen towels, bags, sketchbooks";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"200";"Virensere";"";"http://www.furaffinity.net/user/virensere/";"Resin creations (charms, figures, dice, magnets), Prints and stickers, on-site commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"201";"Eroskun";"Eroskunlove";"https://www.furaffinity.net/user/eroskun/";"Erotic drawings, stickers and dakimakuras";"X";"X";"X";"";"X";"Hey!! im a gay furry and bara NSFW artist!! (only +18 allowed, not teens please!)
be welcome and have fun with my big muscles!! :D";"";"";"https://www.furaffinity.net/user/eroskun/";"https://twitter.com/eroskunlove";"";"eroskun #9857";"for commission fill my form: https://forms.gle/zshobDnGbBUBjaMR9";"";"";"";"X";"";"";"";"";"X"
"202";"Echoes Above";"Tillivision";"";"Vinyl Stickers and on-demand badge printing";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"203";"phallybro";"Phallybro";"http://www.furaffinity.net/user/phallusbro/, https://twitter.com/phallusbro";"Commissions, prints, art book/zine";"";"X";"X";"";"";;;;;;;;;;;;;;;;;
